,तावद्द्वयस,a,ap----a--a,,,,/t̪ɑː.ˈʋəd̪.d̪ʋə.jə.sə/,तावद्-द्वयस,0
380358,56342,उदग्भव,a,ap----a--a,,,,/.ˈd̪əg.bʱə.ʋə/,उदग्-भव,0
380359,56341,उदग्भूम,n,n-----m--a,,,,/.ˈd̪əg.bʱuː.mə/,उदग्-भूम,0
380360,,उदग्दक्षिण,a,ap----a--a,,,,/.ˈd̪əg.ˈd̪ək.ʂi.ɳə/,उदग्-दक्षिण,0
380361,56339,उदग्दश,a,ap----a--a,,,,/.ˈd̪əg.d̪ə.ɕə/,उदग्-दश,0
380362,56340,उदग्द्वार,a,ap----a--a,,,,/.ˈd̪əg.d̪ʋɑː.ɹə/,उदग्-द्वार,0
380363,,उदग्द्वारम्,r,rp--------,,,,/.ˈd̪əg.d̪ʋɑː.ɹəm/,उदग्-द्वारम्,0
380364,56337,उदग्गति,n,n-----f--i,,,,/.ˈd̪əg.gə.t̪i/,उदग्-गति,0
380365,56176,उदघोष,n,n-----m--a,,,,/.d̪ə.gʰoː.ʂə/,उद-घोष,0
380366,56309,उदग्र,a,ap----a--a,,,,/.ˈd̪əg.ɹə/,उद्-अग्र,0
380367,,उदग्रदत्,n,n-----m--c,,,,/.ˈd̪əg.ɹə.d̪ət̪/,उद्-अग्र-दत्,0
380368,56310,उदग्रदत्,a,ap----a--c,,,,/.ˈd̪əg.ɹə.d̪ət̪/,उद्-अग्र-दत्,0
380369,56312,उदग्रप्लुतत्व,n,n-----n--a,,,,/.ˈd̪əg.ˈɹəp.lu.ˈt̪ət̪.ʋə/,उद्-अग्र-प्लुत-त्व,0
380370,56175,उदग्राभ,n,n-----m--a,,,,/.ˈd̪əg.ɹɑː.bʱə/,उद-ग्राभ॔,0
380371,,उदगाह,a,ap----a--a,,,,/.d̪ə.gɑː.ɦə/,उद-गाह,0
380372,,उदगावृत्त,a,ap----a--a,,,,/.d̪ə.gɑː.ˈʋɹ̩t̪.t̪ə/,उदग्-आवृत्त,0
380373,56336,उदगावृत्ति,n,n-----f--i,,,,/.d̪ə.gɑː.ˈʋɹ̩t̪.t̪i/,उदग्-आवृत्ति,0
380374,,उदगायत,a,ap----a--a,,,,/.d̪ə.gɑː.jə.t̪ə/,उदग्-आयत,0
380375,56224,उदहरण,n,n-----n--a,,,,/.d̪ə.ɦə.ɹə.ɳə/,उद-ह॔रण,0
380376,56226,उदहार,n,n-----m--a,,,,/.d̪ə.ɦɑː.ɹə/,उद-हार॔,0
380377,56225,उदहार,a,ap----a--a,,ap----f--ī=>ी,,/.d̪ə.ɦɑː.ɹə/,उद-हार॔,0
380378,160165,उदज्,v,v----a--1-,,,,/.d̪əd͡ʑ/,उद्-अज्,0
380379,56178,उदज,a,ap----a--a,,,,/.d̪ə.d͡ʑə/,उद-ज,0
380380,56179,उदज,n,n-----n--a,,,,/.d̪ə.d͡ʑə/,उद-ज,0
380381,56314,उदज,n,n-----m--a,,,,/.d̪ə.d͡ʑə/,उद्-अज,0
380382,56316,उदजलक,n,n-----m--a,,,,/.d̪ə.d͡ʑə.lə.kə/,उदजलक,0
380383,56317,उदजिन,a,ap----a--a,,,,/.d̪ə.d͡ʑi.nə/,उद्-अजिन,0
380384,,उदक्,r,rp--------,,,,/.d̪ək/,उ॔द्-अक्,0
380385,56229,उदक,n,n-----n--a,,,,/.d̪ə.kə/,उदक॔,0
380386,56257,उदकभार,n,n-----m--a,,,,/.d̪ə.kə.bʱɑː.ɹə/,उदक॔-भार,0
380387,,उदकबिन्दु,n,n-----m--u,,,,/.d̪ə.kə.bin.d̪u/,उदक॔-बिन्दु,0
380388,56239,उदकचन्द्र,n,n-----m--a,,,,/.d̪ə.kə.t͡ɕən.d̪ɹə/,उदक॔-चन्द्र,0
380389,56239,उदकचन्द्र,n,n-----m--a,,,,/.d̪ə.kə.t͡ɕən.d̪ɹə/,उदक-चन्द्र,0
380390,56242,उदकद,n,n-----m--a,,,,/.d̪ə.kə.d̪ə/,उदक॔-द,0
380391,56241,उदकद,a,ap----a--a,,,,/.d̪ə.kə.d̪ə/,उदक॔-द,0
380392,56249,उदकधर,n,n-----m--a,,,,/.d̪ə.kə.d̪ʰə.ɹə/,उदक॔-धर,0
380393,56250,उदकधारा,n,n-----f--ā,,,,/.d̪ə.kə.d̪ʰɑː.ɹɑː/,उदक॔-धारा,0
380394,56245,उदकदान,n,n-----n--a,,,,/.d̪ə.kə.d̪ɑː.nə/,उदक॔-दान,0
380395,56246,उदकदानिक,a,ap----a--a,,,,/.d̪ə.kə.d̪ɑː.ni.kə/,उदकदानिक,0
380396,,उदकदातृ,a,ap----a--r,,,,/.d̪ə.kə.d̪ɑː.t̪ɹ̩/,उदक॔-दातृ,0
380397,,उदकदातृ,n,n-----m--r,,,,/.d̪ə.kə.d̪ɑː.t̪ɹ̩/,उदक॔-दातृ,0
380398,,उदकदायिन्,a,ap----a--n,,,,/.d̪ə.kə.d̪ɑː.jin/,उदक॔-दायिन्,0
380399,56238,उदकघात,n,n-----m--a,,,,/.d̪ə.kə.gʰɑː.t̪ə/,उदक॔-घात,0
380400,56237,उदकगिरि,n,n-----m--i,,,,/.d̪ə.kə.gi.ɹi/,उदक॔-गिरि,0
380401,56236,उदकगाह,a,ap----a--a,,,,/.d̪ə.kə.gɑː.ɦə/,उदक॔-गाह,0
380402,56276,उदकहार,n,n-----m--a,,,,/.d̪ə.kə.ɦɑː.ɹə/,उदक॔-हार,0
380403,56230,उदककर्मन्,n,n-----n--n,,,,/.d̪ə.kə.ˈkəɹ.mən/,उदक॔-कर्मन्,0
380404,,उदकक्रिया,n,n-----f--ā,,,,/.d̪ə.ˈkək.ɹi.jɑː/,उदक॔-क्रिया,0
380405,56234,उदकक्रीडन,n,n-----n--a,,,,/.d̪ə.ˈkək.ɹiː.ɖə.nə/,उदक॔-क्रीडन,0
380406,,उदककुम्भ,n,n-----m--a,,,,/.d̪ə.kə.kum.bʱə/,उदक॔-कुम्भ,0
380407,56231,उदककार्य,n,n-----n--a,,,,/.d̪ə.kə.kɑːɹ.jə/,उदक॔-कार्य,0
380408,209089,उदककृच्छ्र,n,n-----m--a,,,,/.d̪ə.kə.ˈkɹ̩t͡ɕ.t͡ɕʰɹə/,उदक-कृच्छ्र,0
380409,56235,उदकक्ष्वेडिका,n,n-----f--ā,,,,/.d̪ə.ˈkəkʂ.ʋeː.ɖi.kɑː/,उदक॔-क्ष्वेडिका,0
380410,56294,उदकल,a,ap----a--a,,,,/.d̪ə.kə.lə/,उदकल,0
380411,56259,उदकमन्थ,n,n-----m--a,,,,/.d̪ə.kə.mən.t̪ʰə/,उदक॔-मन्थ,0
380412,,उदकमय,a,ap----a--a,,,,/.d̪ə.kə.mə.jə/,उदक॔-मय,0
380413,56258,उदकमञ्जरी,n,n-----f--ī,,,,/.d̪ə.kə.məɲ.d͡ʑə.ɹiː/,उदक॔-मञ्जरी,0
380414,,उदकमञ्जरीरस,n,n-----m--a,,,,/.d̪ə.kə.məɲ.d͡ʑə.ɹiː.ɹə.sə/,उदक॔-मञ्जरी-रस,0
380415,56169,उदकमण्डलु,n,n-----m--u,,,,/.d̪ə.kə.ˈməɳ.ɖə.lu/,उद-कमण्डलु॔,0
380416,56261,उदकमेह,n,n-----m--a,,,,/.d̪ə.kə.meː.ɦə/,उदक॔-मेह,0
380417,56262,उदकमेहिन्,a,ap----a--n,,,,/.d̪ə.kə.meː.ɦin/,उदक॔-मेहिन्,0
380418,,उदकपर्वत,n,n-----m--a,,,,/.d̪ə.kə.ˈpəɹ.ʋə.t̪ə/,उदक॔-पर्वत,0
380419,56251,उदकपरीक्षा,n,n-----f--ā,,,,/.d̪ə.kə.pə.ɹiːk.ʂɑː/,उदक॔-परीक्षा,0
380420,,उदकप्रतीकाश,a,ap----a--a,,,,/.d̪ə.ˈkəp.ɹə.t̪iː.kɑː.ɕə/,उदक॔-प्रतीकाश,0
380421,,उदकपूर्व,a,ap----a--a,,,,/.d̪ə.kə.puːɹ.ʋə/,उदक॔-पूर्व,0
380422,56254,उदकपूर्वकम्,r,rp--------,,,,/.d̪ə.kə.puːɹ.ʋə.kəm/,उदक॔-पूर्वकम्,0
380423,,उदकरक्षिका,n,n-----f--ā,,,,/.d̪ə.kə.ˈɹək.ʂi.kɑː/,उदक-रक्षिका,0
380424,,उदकसक्तु,n,n-----m--u,,,,/.d̪ə.kə.ˈsək.t̪u/,उदक॔-सक्तु,0
380425,,उदकसेचन,n,n-----n--a,,,,/.d̪ə.kə.seː.t͡ɕə.nə/,उदक-सेचन,0
380426,56274,उदकस्पर्श,a,ap----a--a,,,,/.d̪ə.ˈkəs.pə.ɹɕə/,उदक॔-स्पर्श,0
380427,56275,उदकस्पर्शन,n,n-----n--a,,,,/.d̪ə.ˈkəs.pə.ɹɕə.nə/,उदक॔-स्पर्शन,0
380428,56273,उदकसाधु,a,ap----a--u,,,,/.d̪ə.kə.sɑː.d̪ʰu/,उदक॔-साधु,0
380429,,उदकतर्पण,n,n-----n--a,,,,/.d̪ə.kə.ˈt̪əɹ.pə.ɳə/,उदक॔-तर्पण,0
380430,56293,उदकौदन,n,n-----n--a,,,,/.d̪ə.ˈkəौ.d̪ə.nə/,उदकौदन,0
380431,,उदकवज्र,n,n-----m--a,,,,/.d̪ə.kə.ˈʋəd͡ʑ.ɹə/,उदक॔-वज्र,0
380432,56264,उदकवत्,a,ap----a--c,,,,/.d̪ə.kə.ʋət̪/,उदक॔-वत्,0
380433,56265,उदकवाद्य,n,n-----n--a,,,,/.d̪ə.kə.ʋɑːd̪.jə/,उदक॔-वाद्य,0
381169,56972,उद्वह,a,ap----a--a,,,,/d̪.ʋə.ɦə/,उद्-वह॔,0
380434,,उदकवीवध,n,n-----m--a,,,,/.d̪ə.kə.ʋiː.ʋə.d̪ʰə/,उदक॔-वीवध,0
380435,56271,उदकशुद्ध,n,n-----m--a,,,,/.d̪ə.kə.ˈɕud̪.d̪ʰə/,उदक॔-शुद्ध,0
380436,56270,उदकशुद्ध,a,ap----a--a,,,,/.d̪ə.kə.ˈɕud̪.d̪ʰə/,उदक॔-शुद्ध,0
380437,,उदकशाक,n,n-----n--a,,,,/.d̪ə.kə.ɕɑː.kə/,उदक॔-शाक,0
380438,56268,उदकशान्ति,n,n-----f--i,,,,/.d̪ə.kə.ɕɑːn.t̪i/,उदक॔-शान्ति,0
380439,,उदकशान्तिप्रयोग,n,n-----m--a,,,,/.d̪ə.kə.ɕɑːn.ˈt̪ip.ɹə.joː.gə/,उदक॔-शान्ति-प्रयोग,0
380440,,उदकशील,a,ap----a--a,,,,/.d̪ə.kə.ɕiː.lə/,उदक॔-शील,0
380441,56285,उदकेचर,a,ap----a--a,,,,/.d̪ə.keː.t͡ɕə.ɹə/,उदके-चर॔,0
380442,56286,उदकेविशीर्ण,a,ap----a--a,,,,/.d̪ə.keː.ʋi.ɕiːɹ.ɳə/,उदके-विशीर्ण,0
380443,56287,उदकेशय,a,ap----a--a,,,,/.d̪ə.keː.ɕə.jə/,उदके-शय,0
380444,56295,उदकिल,a,ap----a--a,,,,/.d̪ə.ki.lə/,उदकिल,0
380445,56318,उदक्कूल,a,ap----a--a,,,,/.ˈd̪ək.kuː.lə/,उ॔दक्-कूल,0
380446,56289,उदकोदर,n,n-----n--a,,,,/.d̪ə.koː.d̪ə.ɹə/,उदकोदर,0
380447,56290,उदकोदरिन्,a,ap----a--n,,,,/.d̪ə.koː.d̪ə.ɹin/,उदकोदरिन्,0
380448,56288,उदकोदञ्जन,n,n-----n--a,,,,/.d̪ə.koː.d̪əɲ.d͡ʑə.nə/,उदकोदञ्जन,0
380449,56291,उदकोपस्पर्शन,n,n-----n--a,,,,/.d̪ə.koː.ˈpəs.pə.ɹɕə.nə/,उदकोपस्पर्शन,0
380450,,उदकोपस्पर्शिन्,a,ap----a--n,,,,/.d̪ə.koː.ˈpəs.pə.ɹɕin/,उदकोपस्पर्शिन्,0
380451,,उदकोत्सेचन,n,n-----n--a,,,,/.d̪ə.koːt̪.seː.t͡ɕə.nə/,उद-कोत्सेचन,0
380452,56174,उदकोष्ठ,n,n-----m--a,,,,/.d̪ə.koːʂ.ʈʰə/,उद-कोष्ठ,0
380453,56321,उदक्पथ,n,n-----m--a,,,,/.ˈd̪ək.pə.t̪ʰə/,उ॔दक्-पथ,0
380454,56324,उदक्प्रस्रवण,a,ap----a--a,,,,/.ˈd̪ək.ˈpɹəs.ɹə.ʋə.ɳə/,उ॔दक्-प्रस्रवण,0
380455,56325,उदक्प्रस्रवण,n,n-----n--a,,,,/.ˈd̪ək.ˈpɹəs.ɹə.ʋə.ɳə/,उ॔दक्-प्रस्रवण,0
380456,,उदक्प्रस्रवणान्वित,a,ap----a--a,,,,/.ˈd̪ək.ˈpɹəs.ɹə.ʋə.ɳɑːn.ʋi.t̪ə/,उ॔दक्-प्रस्रवणान्वित,0
380457,,उदक्प्रवण,a,ap----a--a,,,,/.ˈd̪ək.pɹə.ʋə.ɳə/,उ॔दक्-प्रवण,0
380458,56322,उदक्पाद,a,ap----a--a,,ap----f--ī=>ी,,/.ˈd̪ək.pɑː.d̪ə/,उ॔दक्-पाद,0
380459,56327,उदक्समास,a,ap----a--a,,,,/.ˈd̪ək.sə.mɑː.sə/,उ॔दक्-समास,0
380460,,उदक्संस्थ,a,ap----a--a,,,,/.ˈd̪ək.ˈsə̃s.t̪ʰə/,उ॔दक्-संस्थ,0
380461,56328,उदक्सेन,n,n-----m--a,,,,/.ˈd̪ək.seː.nə/,उ॔दक्-सेन,0
380462,56329,उदक्त,a,ap----a--a,,,,/.ˈd̪ək.t̪ə/,उद्-अक्त,0
380463,56319,उदक्तस्,r,rp--------,,,,/.ˈd̪ək.t̪əs/,उ॔दक्-त॔स्,0
380464,56320,उदक्तात्,r,rp--------,,,,/.ˈd̪ək.t̪ɑːt̪/,उ॔दक्-तात्,0
380465,56173,उदकुम्भ,n,n-----m--a,,,,/.d̪ə.kum.bʱə/,उद-कुम्भ॔,0
380466,56296,उदक्य,a,ap----a--a,,,,/.ˈd̪ək.jə/,उदक्य,0
380467,,उदक्य,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=उदक्य",/.ˈd̪ək.jə/,उद-क्य,0
380468,56297,उदक्या,n,n-----f--ā,,,,/.ˈd̪ək.jɑː/,उदक्या,0
380469,,उदक्यागमन,n,n-----n--a,,,,/.ˈd̪ək.jɑː.gə.mə.nə/,उदक्यागमन,0
380470,,उदकाभ्यवायिन्,a,ap----a--n,,,,/.d̪ə.kɑːbʱ.jə.ʋɑː.jin/,उद-काभ्यवायिन्,0
380471,56279,उदकाधार,n,n-----m--a,,,,/.d̪ə.kɑː.d̪ʰɑː.ɹə/,उदकाधार,0
380472,,उदकाहार,a,ap----a--a,,,,/.d̪ə.kɑː.ɦɑː.ɹə/,उदकाहार,0
380473,56280,उदकान्त,n,n-----m--a,,,,/.d̪ə.kɑːn.t̪ə/,उदकान्त,0
380474,,उदकान्तम्,r,rp--------,,,,/.d̪ə.kɑːn.t̪əm/,उदकान्तम्,0
380475,56282,उदकार्थ,n,n-----m--a,,,,/.d̪ə.kɑːɹ.t̪ʰə/,उदकार्थ,0
380476,,उदकार्थम्,r,rp--------,,,,/.d̪ə.kɑːɹ.t̪ʰəm/,उदकार्थम्,0
380477,56283,उदकार्थिन्,a,ap----a--n,,,,/.d̪ə.kɑːɹ.t̪ʰin/,उदकार्थिन्,0
380478,56281,उदकार्णव,n,n-----m--a,,,,/.d̪ə.kɑːɹ.ɳə.ʋə/,उदकार्णव,0
380479,,उदकात्मन्,a,ap----a--n,,,,/.d̪ə.kɑːt̪.mən/,उद॔कात्मन्,0
380480,,उदकाञ्जलि,n,n-----m--i,,,,/.d̪ə.kɑːɲ.d͡ʑə.li/,उदकाञ्जलि,0
380481,,उदकांस्य,n,n-----n--a,,,,/.d̪ə.kɑː̃.sjə/,उद-कांस्य,0
380482,56171,उदकीर्य,n,n-----m--a,,,,/.d̪ə.kiːɹ.jə/,उद-कीर्य,0
380483,56172,उदकीर्या,n,n-----f--ā,,,,/.d̪ə.kiːɹ.jɑː/,उद-कीर्या,0
380484,56170,उदकीर्ण,n,n-----m--a,,,,/.d̪ə.kiːɹ.ɳə/,उद-कीर्ण,0
380486,,उदक्शिरस्,a,ap----a-sa,,,,/.d̪ə.kɕi.ɹəs/,उदक्-शिरस्,0
380487,56411,उदल,n,n-----m--a,,,,/.d̪ə.lə/,उदल,0
380488,56412,उदलाकाश्यप,n,n-----m--a,,,,/ud̪əlɑːkɑːɕjəpə/,उदलाकाश्यप,0
380489,56206,उदलावणिक,a,ap----a--a,,,,/.d̪ə.lɑː.ʋə.ɳi.kə/,उद-लावणिक,0
380490,56200,उदमन्थ,n,n-----m--a,,,,/.d̪ə.mən.t̪ʰə/,उद-मन्थ,0
380491,56202,उदमय,n,n-----m--a,,,,/.d̪ə.mə.jə/,उद-मय,0
380492,,उदमय,a,ap----a--a,,,,/.d̪ə.mə.jə/,उद-मय,0
380493,56204,उदमेघ,n,n-----m--a,,,,/.d̪ə.meː.gʰə/,उद-मेघ॔,0
380494,56205,उदमेहिन्,a,ap----a--n,,,,/.d̪ə.meː.ɦin/,उद-मेहिन्,0
380495,56203,उदमान,n,n-----m--a,,,,/.d̪ə.mɑː.nə/,उद-मान,0
380496,56299,उदन्,n,n-----n--n,,,,/.d̪ən/,उद॔न्,0
380497,160168,उदन्,v,v----a--2-,,,,/.d̪ən/,उद्-अन्,0
380498,56187,उदनेमि,a,ap----a--i,,,,/.d̪ə.neː.mi/,उद-नेमि,0
380499,56302,उदनिमत्,a,ap----a--c,,,,/.d̪ə.ni.mət̪/,उदनि-म॔त्,0
380501,56361,उदन्त,a,ap----a--a,,,,/.d̪ən.t̪ə/,उ॔द्-अन्त,0
380503,56362,उदन्त,n,n-----m--a,,,,/.d̪ən.t̪ə/,उ॔द्-अन्त,0
380507,56363,उदन्तक,n,n-----m--a,,,,/.d̪ən.t̪ə.kə/,उद्-अन्तक,0
380508,,उदन्तम्,r,rp--------,,,,/.d̪ən.t̪əm/,उ॔द्-अन्तम्,0
380509,56364,उदन्तिका,n,n-----f--ā,,,,/.d̪ən.t̪i.kɑː/,उद्-अन्तिका,0
380510,56365,उदन्त्य,a,ap----a--a,,,,/.d̪ən.t̪jə/,उदन्त्य,0
380511,,उदन्वत्,n,n-----m--c,,,,/.d̪ən.ʋət̪/,उद॔न्-व॔त्,0
380513,56300,उदन्वत्,a,ap----a--c,,,,/.d̪ən.ʋət̪/,उद॔न्-व॔त्,0
380515,56303,उदन्य,a,ap----a--a,,,,/.d̪ən.jə/,उदन्य॔,0
380516,56305,उदन्यज,a,ap----a--a,,,,/.d̪ən.jə.d͡ʑə/,उदन्य॔-ज॔,0
380517,56306,उदन्यु,a,ap----a--u,,,,/.d̪ən.ju/,उदन्यु॔,0
380518,56304,उदन्या,n,n-----f--ā,,,,/.d̪ən.jɑː/,उदन्या,0
380519,56188,उदप,a,ap----a--a,,,,/.d̪ə.pə/,उद-प,0
380520,56194,उदपेषम्,r,rp--------,,,,/.d̪ə.peː.ʂəm/,उद-पेषम्,0
380521,56196,उदप्लव,n,n-----m--a,,,,/.ˈd̪əp.lə.ʋə/,उद-प्लव,0
380522,56197,उदप्लुत,a,ap----a--a,,,,/.ˈd̪əp.lu.t̪ə/,उद-प्लुत॔,0
380523,,उदप्रुत्,a,ap----a--c,,,,/.ˈd̪əp.ɹut̪/,उद-प्रु॔त्,0
380524,56193,उदपुर,n,n-----n--a,,,,/.d̪ə.pu.ɹə/,उद-पुर॔,0
380525,,उदपुरा,n,n-----f--ā,,,,/.d̪ə.pu.ɹɑː/,उद-पुरा,0
380526,56191,उदपान,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=उदपान",/.d̪ə.pɑː.nə/,उद-पान,0
380527,,उदपानमण्डूक,n,n-----m--a,,,,/.d̪ə.pɑː.nə.ˈməɳ.ɖuː.kə/,उद-पान-मण्डूक,0
380528,,उदपास्,v,v----a----,,,,/.d̪ə.pɑːs/,उद्-अपास्,0
380529,56189,उदपात्र,n,n-----n--a,,,,/.d̪ə.pɑːt̪.ɹə/,उद-पात्र॔,0
380530,56190,उदपात्री,n,n-----f--ī,,,,/.d̪ə.pɑːt̪.ɹiː/,उद-पात्री,0
380531,56192,उदपीति,n,n-----f--i,,,,/.d̪ə.piː.t̪i/,उद-पीति,0
380532,,उदपू,a,ap----a--ū,,,,/.d̪ə.puː/,उद-पू॔,0
380533,56366,उदर,n,n-----n--a,,,,/.d̪ə.ɹə/,उद॔र,0
380534,,उदरभरणमात्रकेवलेच्छु,a,ap----a--u,,,,/.d̪ə.ɹə.bʱə.ɹə.ɳə.mɑːt̪.ɹə.keː.ʋə.leːt͡ɕ.t͡ɕʰu/,उद॔र-भरणमात्र-केवलेच्छु,0
380535,56371,उदरदार,n,n-----m--a,,,,/.d̪ə.ɹə.d̪ɑː.ɹə/,उद॔र-दार॔,0
380536,56369,उदरग्रन्थि,n,n-----m--i,,,,/.d̪ə.ˈɹəg.ɹən.t̪ʰi/,उद॔र-ग्रन्थि,0
380537,56396,उदरक,a,ap----a--a,,,,/.d̪ə.ɹə.kə/,उदरक,0
380538,56368,उदरक्रिमि,n,n-----m--i,,,,/.d̪ə.ˈɹək.ɹi.mi/,उद॔र-क्रिमि,0
380539,56367,उदरकृमि,n,n-----m--i,,,,/.d̪ə.ɹə.kɹ̩.mi/,उद॔र-कृमि,0
380540,56373,उदरपिशाच,n,n-----m--a,,,,/.d̪ə.ɹə.pi.ɕɑː.t͡ɕə/,उद॔र-पिशाच,0
380541,56375,उदरपोषण,n,n-----n--a,,,,/.d̪ə.ɹə.poː.ʂə.ɳə/,उद॔र-पोषण,0
380542,56372,उदरपात्र,n,n-----n--a,,,,/.d̪ə.ɹə.pɑːt̪.ɹə/,उद॔र-पात्र,0
380543,56374,उदरपूरम्,r,rp--------,,,,/.d̪ə.ɹə.puː.ɹəm/,उद॔र-पूरम्,0
380544,56379,उदररन्ध्र,n,n-----n--a,,,,/.d̪ə.ɹə.ɹən.d̪ʰɹə/,उद॔र-रन्ध्र,0
380545,56380,उदररोग,n,n-----m--a,,,,/.d̪ə.ɹə.ɹoː.gə/,उद॔र-रोग,0
380546,56385,उदरसर्पिन्,a,ap----a--n,,,,/.d̪ə.ɹə.ˈsəɹ.pin/,उद॔र-सर्पिन्,0
380547,56386,उदरसर्वस्व,a,ap----a--a,,,,/.d̪ə.ɹə.ˈsəɹ.ˈʋəs.ʋə/,उद॔र-सर्वस्व,0
380548,56387,उदरस्थ,n,n-----m--a,,,,/.d̪ə.ˈɹəs.t̪ʰə/,उद॔र-स्थ,0
380549,,उदरस्थ,a,ap----a--a,,,,/.d̪ə.ˈɹəs.t̪ʰə/,उदर-स्थ,0
380550,,उदरस्थित,a,ap----a--a,,,,/.d̪ə.ˈɹəs.t̪ʰi.t̪ə/,उदर-स्थित,0
380551,56403,उदरथि,n,n-----m--i,,,,/.d̪ə.ɹə.t̪ʰi/,उदरथि,0
380552,56370,उदरत्राण,n,n-----n--a,,,,/.d̪ə.ˈɹət̪.ɹɑː.ɳə/,उद॔र-त्राण,0
380553,,उदरताडम्,r,rp--------,,,,/.d̪ə.ɹə.t̪ɑː.ɖəm/,उदर-ताडम्,0
380554,56381,उदरवत्,a,ap----a--c,,,,/.d̪ə.ɹə.ʋət̪/,उद॔र-वत्,0
380555,,उदरविस्तार,n,n-----m--a,,,,/.d̪ə.ɹə.ˈʋis.t̪ɑː.ɹə/,उदर-विस्तार,0
380556,,उदरव्याधि,n,n-----m--i,,,,/.d̪ə.ˈɹəʋ.jɑː.d̪ʰi/,उद॔र-व्याधि,0
380557,56383,उदरशय,a,ap----a--a,,,,/.d̪ə.ɹə.ɕə.jə/,उद॔र-शय,0
380558,56384,उदरशाण्डिल्य,n,n-----m--a,,,,/.d̪ə.ɹə.ɕɑːɳ.ˈɖil.jə/,उद॔र-शाण्डिल्य,0
380559,56377,उदरंभर,a,ap----a--a,,,,/.d̪ə.ɹəm.bʱə.ɹə/,उद॔र-ं-भर,0
380560,,उदरंभरि,a,ap----a--i,,,,/.d̪ə.ɹəm.bʱə.ɹi/,उद॔र-ं-भरि,0
380561,222943,उदरण,n,n-----n--a,,,,/.d̪ə.ɹə.ɳə/,उद्-अ॔रण,0
380562,,उदर्च्,v,v----a--1- v----d--1-,,,,/.d̪əɹt͡ɕ/,उद्-अर्च्,0
380564,56407,उदर्चिस्,n,n-----m-si,,,,/.ˈd̪əɹ.t͡ɕis/,उद्-अर्चिस्,0
458410,,ग्रभ्,-,,,,,/g.ɹəbʱ/,ग्रभ्,0
380565,,उदर्चिस्,a,ap----a-si,,,,/.ˈd̪əɹ.t͡ɕis/,उद्-अर्चिस्,0
380567,,उदर्द्,v,v----a--6- v----a--1- v----a--7-,,,,/.d̪əɹd̪/,उद्-अर्द्,0
380568,56408,उदर्द,n,n-----m--a,,,,/.ˈd̪əɹ.d̪ə/,उद्-अर्द,0
380569,56409,उदर्द्ध,n,n-----m--a,,,,/.ˈd̪əɹd̪.d̪ʰə/,उद्-अर्द्ध,0
380570,56397,उदरिक,a,ap----a--a,,,,/.d̪ə.ɹi.kə/,उदरिक,0
380571,56400,उदरिल,a,ap----a--a,,,,/.d̪ə.ɹi.lə/,उदरिल,0
380572,56398,उदरिन्,a,ap----a--n,,,,/.d̪ə.ɹin/,उदरिन्,0
380573,56399,उदरिणी,n,n-----f--ī,,,,/.d̪ə.ɹi.ɳiː/,उदरिणी,0
380574,56404,उदर्क,n,n-----m--a,,,,/.ˈd̪əɹ.kə/,उद्-अर्क॔,0
380575,56401,उदर्य,a,ap----a--a,,,,/.ˈd̪əɹ.jə/,उदर्य॔,0
380576,56402,उदर्य,n,n-----n--a,,,,/.ˈd̪əɹ.jə/,उदर्य॔,0
380577,,उदराध्मान,n,n-----n--a,,,,/.d̪ə.ɹɑːd̪ʰ.mɑː.nə/,उदराध्मान,0
380578,56389,उदराग्नि,n,n-----m--i,,,,/.d̪ə.ɹɑːg.ni/,उदराग्नि,0
380579,56388,उदराक्ष,n,n-----m--a,,,,/.d̪ə.ɹɑːk.ʂə/,उदराक्ष,0
380580,56392,उदरामय,n,n-----m--a,,,,/.d̪ə.ɹɑː.mə.jə/,उदरामय,0
380581,56393,उदरामयिन्,a,ap----a--n,,,,/.d̪ə.ɹɑː.mə.jin/,उदरामयिन्,0
380582,56394,उदरावर्त,n,n-----m--a,,,,/.d̪ə.ɹɑː.ˈʋəɹ.t̪ə/,उदरावर्त,0
380583,56395,उदरावेष्ट,n,n-----m--a,,,,/.d̪ə.ɹɑː.ʋeːʂ.ʈə/,उदरावेष्ट,0
380584,56390,उदराट,n,n-----m--a,,,,/.d̪ə.ɹɑː.ʈə/,उदराट,0
380585,56410,उदर्ष,n,n-----m--a,,,,/.ˈd̪əɹ.ʂə/,उद्-अर्ष॔,0
380586,,उदस्,v,v----a--4- v----d--4-,,,,/.d̪əs/,उद्-अस्,0
380587,56220,उदसक्तु,n,n-----m--u,,,,/.d̪ə.ˈsək.t̪u/,उद-सक्तु,0
380588,56422,उदसन,n,n-----n--a,,,,/.d̪ə.sə.nə/,उद्-असन,0
380589,56426,उदस्र,a,ap----a--a,,,,/.ˈd̪əs.ɹə/,उद्-अस्र,0
380590,,उदस्त,a,ap----a--a,,,,/.ˈd̪əs.t̪ə/,उद्-अस्त,0
