7798,सुविनय,a,ap----a--a,,,,/su.ʋi.nə.jə/,सु-विनय,0
368304,119712,स्वप्नपर्यन्तम्,r,rp--------,,,,/s.ˈʋəp.nə.ˈpəɹ.jən.t̪əm/,स्व॔प्न-पर्यन्तम्,0
368305,119711,स्वप्नपरीक्षा,n,n-----f--ā,,,,/s.ˈʋəp.nə.pə.ɹiːk.ʂɑː/,स्व॔प्न-परीक्षा,0
368306,121679,स्वप्नफलाध्याय,n,n-----m--a,,,,/s.ˈʋəp.nə.pʰə.lɑːd̪ʰ.jɑː.jə/,स्व॔प्न-फलाध्याय,0
368307,,स्वप्नफलाफल,n,n-----n--a,,,,/s.ˈʋəp.nə.pʰə.lɑː.pʰə.lə/,स्व॔प्न-फलाफल,0
368308,119713,स्वप्नप्रकरण,n,n-----n--a,,,,/s.ˈʋəp.ˈnəp.ɹə.kə.ɹə.ɳə/,स्व॔प्न-प्रकरण,0
368309,119714,स्वप्नप्रपञ्च,n,n-----m--a,,,,/s.ˈʋəp.ˈnəp.ɹə.pəɲ.t͡ɕə/,स्व॔प्न-प्रपञ्च,0
368310,119757,स्वप्नस्,a,ap----a-sa,,,,/s.ˈʋəp.nəs/,स्व्-अ॔प्नस्,0
368311,,स्वप्नसंदर्शन,n,n-----n--a,,,,/s.ˈʋəp.nə.sən.d̪ə.ɹɕə.nə/,स्व॔प्न-संदर्शन,0
368312,121684,स्वप्नस्थान,n,n-----n--a,,,,/s.ˈʋəp.ˈnəs.t̪ʰɑː.nə/,स्व॔प्न-स्था॔न,0
368313,,स्वप्नस्थान,a,ap----a--a,,,,/s.ˈʋəp.ˈnəs.t̪ʰɑː.nə/,स्व॔प्न-स्था॔न,0
368314,119728,स्वप्नसृष्टि,n,n-----f--i,,,,/s.ˈʋəp.nə.ˈsɹ̩ʂ.ʈi/,स्व॔प्न-सृष्टि,0
368315,,स्वप्नतन्द्रिता,n,n-----f--ā,,,,/s.ˈʋəp.nə.t̪ən.d̪ɹi.t̪ɑː/,स्व॔प्न-तन्द्रिता,0
368316,,स्वप्नवत्,r,rp--------,,,,/s.ˈʋəp.nə.ʋət̪/,स्व॔प्न-वत्,0
368317,119721,स्वप्नविचारिन्,a,ap----a--n,,,,/s.ˈʋəp.nə.ʋi.t͡ɕɑː.ɹin/,स्व॔प्न-विचारिन्,0
368318,119722,स्वप्नविधि,n,n-----m--i,,,,/s.ˈʋəp.nə.ʋi.d̪ʰi/,स्व॔प्न-विधि,0
368319,,स्वप्नविकार,n,n-----m--a,,,,/s.ˈʋəp.nə.ʋi.kɑː.ɹə/,स्व॔प्न-विकार,0
368320,119723,स्वप्नविनश्वर,a,ap----a--a,,ap----f--ī=>ी,,/sʋəpnəʋinəɕʋəɹə/,स्व॔प्न-विनश्वर,0
368321,,स्वप्नविपर्यय,n,n-----m--a,,,,/s.ˈʋəp.nə.ʋi.ˈpəɹ.jə.jə/,स्व॔प्न-विपर्यय,0
368322,121682,स्वप्नवाराहीकल्प,n,n-----m--a,,,,/s.ˈʋəp.nə.ʋɑː.ɹɑː.ɦiː.ˈkəl.pə/,स्व॔प्न-वाराही-कल्प,0
368323,,स्वप्नवासवदत्तानाटक,n,n-----n--a,,,,/s.ˈʋəp.nə.ʋɑː.sə.ʋə.ˈd̪ət̪.t̪ɑː.nɑː.ʈə.kə/,स्व॔प्न-वासवदत्ता-नाटक,0
368324,119725,स्वप्नवृत्त,a,ap----a--a,,,,/s.ˈʋəp.nə.ˈʋɹ̩t̪.t̪ə/,स्व॔प्न-वृत्त,0
368325,119739,स्वप्नया,r,rp--------,,,,/s.ˈʋəp.nə.jɑː/,स्वप्नया॔,0
368326,,स्वप्नशील,a,ap----a--a,,,,/s.ˈʋəp.nə.ɕiː.lə/,स्व॔प्न-शील,0
368327,,स्वप्नेदुह्ष्वप्न्य,n,n-----n--a,,,,/s.ˈʋəp.neː.ˈd̪uhʂ.ˈʋəp.njə/,स्वप्ने-दुःष्वप्न्य॔,0
368328,119735,स्वप्नेश्वर,n,n-----m--a,,,,/sʋəpneːɕʋəɹə/,स्वप्नेश्वर,0
368329,,स्वप्नोपभोग,n,n-----m--a,,,,/s.ˈʋəp.noː.pə.bʱoː.gə/,स्वप्नोपभोग,0
368330,,स्वप्नोपम,a,ap----a--a,,,,/s.ˈʋəp.noː.pə.mə/,स्वप्नोपम,0
368331,119742,स्वप्न्य,n,n-----n--a,,,,/s.ˈʋəp.njə/,स्व॔प्न्य,0
368332,119743,स्वप्न्यया,r,rp--------,,,,/s.ˈʋəp.njə.jɑː/,स्वप्न्य॔या,0
368333,,स्वप्नाभिकरण,n,n-----n--a,,,,/s.ˈʋəp.nɑː.bʱi.kə.ɹə.ɳə/,स्वप्नाभिक॔रण,0
368334,,स्वप्नादेश,n,n-----m--a,,,,/s.ˈʋəp.nɑː.d̪eː.ɕə/,स्वप्नादेश,0
368335,121686,स्वप्नाध्याय,n,n-----m--a,,,,/s.ˈʋəp.nɑːd̪ʰ.jɑː.jə/,स्वप्नाध्याय,0
368336,,स्वप्नाध्यायविद्,n,n-----m--c,,,,/s.ˈʋəp.nɑːd̪ʰ.jɑː.jə.ʋid̪/,स्वप्नाध्याय-विद्,0
368337,119740,स्वप्नालु,a,ap----a--u,,,,/s.ˈʋəp.nɑː.lu/,स्वप्नालु,0
368338,119730,स्वप्नानयनमन्त्र,n,n-----m--a,,,,/s.ˈʋəp.nɑː.nə.jə.nə.mən.t̪ɹə/,स्वप्नानयन-मन्त्र,0
368339,,स्वप्नान्त,n,n-----m--a,,,,/s.ˈʋəp.nɑːn.t̪ə/,स्वप्नान्त॔,0
368340,,स्वप्नान्तर,n,n-----n--a,,,,/s.ˈʋəp.nɑːn.t̪ə.ɹə/,स्वप्नान्तर,0
370043,,साधित,a,ap----a--a,,,,/sɑː.d̪ʰi.t̪ə/,साधित,0
368341,,स्वप्नान्तरगत,a,ap----a--a,,,,/s.ˈʋəp.nɑːn.t̪ə.ɹə.gə.t̪ə/,स्वप्नान्तर-गत,0
368342,119732,स्वप्नान्तिक,n,n-----n--a,,,,/s.ˈʋəp.nɑːn.t̪i.kə/,स्वप्नान्तिक,0
368343,,स्वप्नावस्था,n,n-----f--ā,,,,/s.ˈʋəp.nɑː.ˈʋəs.t̪ʰɑː/,स्वप्नावस्था,0
368345,114473,स्वपोषम्,r,rp--------,,,,/s.ʋə.poː.ʂəm/,स्व॔-पोषम्,0
368346,,स्वप्रभुतया,r,rp--------,,,,/s.ˈʋəp.ɹə.bʱu.t̪ə.jɑː/,स्व॔-प्रभुतया,0
368347,114480,स्वप्रभुता,n,n-----f--ā,,,,/s.ˈʋəp.ɹə.bʱu.t̪ɑː/,स्व॔-प्रभुता,0
368348,114479,स्वप्रभा,n,n-----f--ā,,,,/s.ˈʋəp.ɹə.bʱɑː/,स्व॔-प्रभा,0
368349,114478,स्वप्रधान,a,ap----a--a,,,,/s.ˈʋəp.ɹə.d̪ʰɑː.nə/,स्व॔-प्रधान,0
368350,,स्वप्रधानता,n,n-----f--ā,,,,/s.ˈʋəp.ɹə.d̪ʰɑː.nə.t̪ɑː/,स्व॔-प्रधान-ता,0
368351,,स्वप्रकाश,a,ap----a--a,,,,/s.ˈʋəp.ɹə.kɑː.ɕə/,स्व॔-प्रकाश,0
368352,,स्वप्रकाशज्ञानवादार्थ,n,n-----m--a,,,,/s.ˈʋəp.ɹə.kɑː.ˈɕəd͡ʑ.ɲɑː.nə.ʋɑː.d̪ɑːɹ.t̪ʰə/,स्व॔-प्रकाश-ज्ञान-वादार्थ,0
368353,,स्वप्रकाशप्रदीपिका,n,n-----f--ā,,,,/s.ˈʋəp.ɹə.kɑː.ˈɕəp.ɹə.d̪iː.pi.kɑː/,स्व॔-प्रकाश-प्रदीपिका,0
368354,,स्वप्रकाशरहस्य,n,n-----n--a,,,,/s.ˈʋəp.ɹə.kɑː.ɕə.ɹə.ˈɦəs.jə/,स्व॔-प्रकाश-रहस्य,0
368355,,स्वप्रकाशत्व,n,n-----n--a,,,,/s.ˈʋəp.ɹə.kɑː.ˈɕət̪.ʋə/,स्व॔-प्रकाश-त्व,0
368356,,स्वप्रकाशताविचार,n,n-----m--a,,,,/s.ˈʋəp.ɹə.kɑː.ɕə.t̪ɑː.ʋi.t͡ɕɑː.ɹə/,स्व॔-प्रकाश-ता-विचार,0
368357,,स्वप्रकाशवादार्थ,n,n-----m--a,,,,/s.ˈʋəp.ɹə.kɑː.ɕə.ʋɑː.d̪ɑːɹ.t̪ʰə/,स्व॔-प्रकाश-वादार्थ,0
368358,114481,स्वप्रमाणानुरूप,a,ap----a--a,,,,/s.ˈʋəp.ɹə.mɑː.ɳɑː.nu.ɹuː.pə/,स्व॔-प्रमाणानुरूप,0
368359,114484,स्वप्रसार,n,n-----m--a,,,,/s.ˈʋəp.ɹə.sɑː.ɹə/,स्व॔-प्रसार,0
368360,114475,स्वप्रतिनिधि,n,n-----m--i,,,,/s.ˈʋəp.ɹə.t̪i.ni.d̪ʰi/,स्व॔-प्रतिनिधि,0
368361,,स्वप्रतिनिधित्वेन,r,rp--------,,,,/s.ˈʋəp.ɹə.t̪i.ni.ˈd̪ʰit̪.ʋeː.nə/,स्व॔-प्रतिनिधि-त्वेन,0
368362,114477,स्वप्रतिष्ठ,n,n-----m--a,,,,/s.ˈʋəp.ɹə.ˈt̪iʂ.ʈʰə/,स्व॔-प्रतिष्ठ,0
368363,114476,स्वप्रतिष्ठ,a,ap----a--a,,,,/s.ˈʋəp.ɹə.ˈt̪iʂ.ʈʰə/,स्व॔-प्रतिष्ठ,0
368364,114482,स्वप्रयोगात्,r,rp--------,,,,/s.ˈʋəp.ɹə.joː.gɑːt̪/,स्व॔-प्रयोगात्,0
368365,,स्वप्रयोजनवश,n,n-----m--a,,,,/s.ˈʋəp.ɹə.joː.d͡ʑə.nə.ʋə.ɕə/,स्व॔-प्रयोजन-वश,0
368366,,स्वप्तव्य,a,ap----a--a,,,,/s.ˈʋəp.ˈt̪əʋ.jə/,स्वप्तव्य,0
368367,,स्वप्तृ,a,ap----a--r,,,,/s.ˈʋəp.t̪ɹ̩/,स्वप्तृ,0
368368,114470,स्वपुर,n,n-----n--a,,,,/s.ʋə.pu.ɹə/,स्व॔-पुर,0
368369,114471,स्वपुरस्,r,rp--------,,,,/s.ʋə.pu.ɹəs/,स्व॔-पुरस्,0
368370,,स्वपुत्रवत्,r,rp--------,,,,/s.ʋə.ˈput̪.ɹə.ʋət̪/,स्व॔-पुत्र-वत्,0
368371,119753,स्वपाक,a,ap----a--a,,,,/s.ʋə.pɑː.kə/,स्वपाक,0
368372,119755,स्वपू,n,n-----f--ū,,,,/s.ʋə.puː/,स्व-पू॔,0
368373,114472,स्वपूर्ण,a,ap----a--a,,,,/s.ʋə.puːɹ.ɳə/,स्व॔-पूर्ण,0
368374,119779,स्वर्,r,rp--------,,,,/s.ʋəɹ/,स्व॔र्,0
368375,,स्वर्,v,v----a--0-,,,,/s.ʋəɹ/,स्वर्,0
368376,159208,स्वर्,v,v----a--1-,,,,/s.ʋəɹ/,स्वर्,0
368379,121824,स्वर,n,n-----m--a,,,n-----f--ā=स्वरआ,/s.ʋə.ɹə/,स्व॔र,0
368380,120522,स्वरबद्ध,a,ap----a--a,,,,/s.ʋə.ɹə.ˈbəd̪.d̪ʰə/,स्व॔र-बद्ध,0
368381,120528,स्वरभैरव,n,n-----m--a,,,,/s.ʋə.ɹə.bʱɑːi.ɹə.ʋə/,स्व॔र-भैरव,0
368382,120524,स्वरभक्ति,n,n-----f--i,,,,/s.ʋə.ɹə.ˈbʱək.t̪i/,स्व॔र-भक्ति,0
368383,120525,स्वरभङ्ग,n,n-----m--a,,,,/s.ʋə.ɹə.bʱəŋ.gə/,स्व॔र-भङ्ग,0
368384,120526,स्वरभङ्गिन्,n,n-----m--n,,,,/s.ʋə.ɹə.bʱəŋ.gin/,स्व॔र-भङ्गिन्,0
368385,121829,स्वरभेद,n,n-----m--a,,,,/s.ʋə.ɹə.bʱeː.d̪ə/,स्व॔र-भेद,0
368386,,स्वरभेदभय,n,n-----n--a,,,,/s.ʋə.ɹə.bʱeː.d̪ə.bʱə.jə/,स्व॔र-भेद-भय,0
368387,120527,स्वरभूत,a,ap----a--a,,,,/s.ʋə.ɹə.bʱuː.t̪ə/,स्व॔र-भूत,0
368388,120523,स्वरब्रह्मन्,n,n-----n--n,,,,/s.ʋə.ˈɹəb.ˈɹəɦ.mən/,स्व॔र-ब्रह्मन्,0
368389,120511,स्वरच्छिद्र,n,n-----n--a,,,,/s.ʋə.ˈɹət͡ɕ.ˈt͡ɕʰid̪.ɹə/,स्व॔र-च्छिद्र,0
368390,120510,स्वरचिन्ता,n,n-----f--ā,,,,/s.ʋə.ɹə.t͡ɕin.t̪ɑː/,स्व॔र-चिन्ता,0
368391,121695,स्वरधीत,a,ap----a--a,,,,/s.ʋə.ɹə.d̪ʰiː.t̪ə/,स्व॔र्-अधीत,0
368392,,स्वरधीतसार,n,n-----m--a,,,,/s.ʋə.ɹə.d̪ʰiː.t̪ə.sɑː.ɹə/,स्व॔र्-अधीत-सार,0
368393,,स्वरदीप्त,a,ap----a--a,,,,/s.ʋə.ɹə.d̪iːp.t̪ə/,स्व॔र-दीप्त,0
368394,120506,स्वरगताध्याय,n,n-----m--a,,,,/s.ʋə.ɹə.gə.t̪ɑːd̪ʰ.jɑː.jə/,स्व॔र-गताध्याय,0
368395,120509,स्वरघ्न,n,n-----m--a,,,,/s.ʋə.ˈɹəgʰ.nə/,स्व॔र-घ्न,0
368396,120507,स्वरग्राम,n,n-----m--a,,,,/s.ʋə.ˈɹəg.ɹɑː.mə/,स्व॔र-ग्राम,0
368397,120508,स्वरगुप्ति,n,n-----f--i,,,,/s.ʋə.ɹə.ˈgup.t̪i/,स्व॔र-गुप्ति,0
368398,,स्वरहन्,n,n-----m--n,,,,/s.ʋə.ɹə.ɦən/,स्व॔र-हन्,0
368399,,स्वरकम्प,n,n-----m--a,,,,/s.ʋə.ɹə.kəm.pə/,स्व॔र-कम्प,0
368400,,स्वरकर,a,ap----a--a,,,,/s.ʋə.ɹə.kə.ɹə/,स्व॔र-कर,0
368401,120505,स्वरक्षय,n,n-----m--a,,,,/s.ʋə.ˈɹək.ʂə.jə/,स्व॔र-क्षय,0
368402,119879,स्वरक्षु,n,n-----f--u,,,,/s.ʋə.ˈɹək.ʂu/,स्वरक्षु,0
368403,120535,स्वरलक्षण,n,n-----n--a,,,,/s.ʋə.ɹə.ˈlək.ʂə.ɳə/,स्व॔र-लक्षण,0
368404,120536,स्वरलासिका,n,n-----f--ā,,,,/s.ʋə.ɹə.lɑː.si.kɑː/,स्व॔र-लासिका,0
368405,121830,स्वरमन्त्रकाण्ड,n,n-----n--a,,,,/s.ʋə.ɹə.mən.t̪ɹə.kɑːɳ.ɖə/,स्व॔र-मन्त्र-काण्ड,0
368406,120529,स्वरमञ्चनृत्य,n,n-----n--a,,,,/s.ʋə.ɹə.məɲ.t͡ɕə.ˈnɹ̩t̪.jə/,स्व॔र-मञ्च-नृत्य,0
368407,120530,स्वरमञ्जरी,n,n-----f--ī,,,,/s.ʋə.ɹə.məɲ.d͡ʑə.ɹiː/,स्व॔र-मञ्जरी,0
368408,120531,स्वरमण्डल,n,n-----m--a,,,,/s.ʋə.ɹə.ˈməɳ.ɖə.lə/,स्व॔र-मण्डल,0
368409,120532,स्वरमण्डलिका,n,n-----f--ā,,,,/s.ʋə.ɹə.ˈməɳ.ɖə.li.kɑː/,स्व॔र-मण्डलिका,0
368410,,स्वरमेलकलानिधि,n,n-----f--i,,,,/s.ʋə.ɹə.meː.lə.kə.lɑː.ni.d̪ʰi/,स्व॔र-मेल-कला-निधि,0
368411,120533,स्वरमात्रा,n,n-----f--ā,,,,/s.ʋə.ɹə.mɑːt̪.ɹɑː/,स्व॔र-मात्रा,0
368412,120515,स्वरनिर्णय,n,n-----m--a,,,,/s.ʋə.ɹə.ˈniɹ.ɳə.jə/,स्व॔र-निर्णय,0
368413,120514,स्वरनाभि,n,n-----m--i,,,,/s.ʋə.ɹə.nɑː.bʱi/,स्व॔र-नाभि,0
368414,,स्वरपक्ष,a,ap----a--a,,,,/s.ʋə.ɹə.ˈpək.ʂə/,स्व॔र-पक्ष,0
368415,120518,स्वरपरिभाषा,n,n-----f--ā,,,,/s.ʋə.ɹə.pə.ɹi.bʱɑː.ʂɑː/,स्व॔र-परिभाषा,0
368416,120519,स्वरपरिवर्त,n,n-----m--a,,,,/s.ʋə.ɹə.pə.ɹi.ˈʋəɹ.t̪ə/,स्व॔र-परिवर्त,0
368417,120517,स्वरपत्तन,n,n-----n--a,,,,/s.ʋə.ɹə.ˈpət̪.t̪ə.nə/,स्व॔र-पत्तन,0
368418,,स्वरपञ्चाशत्,n,n-----f--c,,,,/s.ʋə.ɹə.pəɲ.t͡ɕɑː.ɕət̪/,स्व॔र-पञ्चाशत्,0
368419,121828,स्वरप्रकरण,n,n-----n--a,,,,/s.ʋə.ˈɹəp.ɹə.kə.ɹə.ɳə/,स्व॔र-प्रकरण,0
368420,,स्वरप्रक्रिया,n,n-----f--ā,,,,/s.ʋə.ˈɹəp.ˈɹək.ɹi.jɑː/,स्व॔र-प्रक्रिया,0
368421,,स्वरप्रस्तार,n,n-----m--a,,,,/s.ʋə.ˈɹəp.ˈɹəs.t̪ɑː.ɹə/,स्व॔र-प्रस्तार,0
368422,120520,स्वरपुरंजय,n,n-----m--a,,,,/s.ʋə.ɹə.pu.ɹəɲ.d͡ʑə.jə/,स्व॔र-पुरंजय,0
368423,120521,स्वरपृष्ठ,a,ap----a--a,,,,/s.ʋə.ɹə.ˈpɹ̩ʂ.ʈʰə/,स्व॔र-पृष्ठ,0
368424,,स्वररत्नभाण्ड,n,n-----n--a,,,,/s.ʋə.ɹə.ˈɹət̪.nə.bʱɑːɳ.ɖə/,स्व॔र-रत्न-भाण्ड,0
368425,121832,स्वररत्नकोश,n,n-----m--a,,,,/s.ʋə.ɹə.ˈɹət̪.nə.koː.ɕə/,स्व॔र-रत्न-कोश,0
368426,120189,स्वरस,n,n-----m--a,,,,/s.ʋə.ɹə.sə/,स्व॔-रस,0
368427,120188,स्वरस,a,ap----a--a,,ap----f--ā=>ा,,/s.ʋə.ɹə.sə/,स्व॔-रस,0
368429,120553,स्वरसम्पद्,n,n-----f--c,,,,/s.ʋə.ɹə.səm.pəd̪/,स्व॔र-सम्पद्,0
368430,,स्वरसम्पन्न,a,ap----a--a,,ap----f--ā=>ा,,/s.ʋə.ɹə.səm.pən.nə/,स्व॔र-सम्पन्न,0
368431,120552,स्वरसमुच्चय,n,n-----m--a,,,,/s.ʋə.ɹə.sə.ˈmut͡ɕ.t͡ɕə.jə/,स्व॔र-समुच्चय,0
368432,,स्वरसंदर्भ,n,n-----m--a,,,,/s.ʋə.ɹə.sən.ˈd̪əɹ.bʱə/,स्व॔र-संदर्भ,0
368433,120550,स्वरसंदेहविवाद,n,n-----m--a,,,,/s.ʋə.ɹə.sən.d̪eː.ɦə.ʋi.ʋɑː.d̪ə/,स्व॔र-संदेह-विवाद,0
368434,120551,स्वरसंधि,n,n-----m--i,,,,/s.ʋə.ɹə.sən.d̪ʰi/,स्व॔र-संधि,0
368435,120548,स्वरसंग्रह,n,n-----m--a,,,,/s.ʋə.ɹə.səŋ.gɹə.ɦə/,स्व॔र-संग्रह,0
368436,120547,स्वरसंक्रम,n,n-----m--a,,,,/s.ʋə.ɹə.səŋ.kɹə.mə/,स्व॔र-संक्रम,0
368437,120546,स्वरसंस्वारवत्,a,ap----a--c,,,,/s.ʋə.ɹə.ˈsə̃s.ʋɑː.ɹə.ʋət̪/,स्व॔र-संस्वार-वत्,0
368438,120545,स्वरसंयोग,n,n-----m--a,,,,/s.ʋə.ɹə.ˈsə̃.joː.gə/,स्व॔र-संयोग,0
368439,,स्वरसिद्धान्तचन्द्रिका,n,n-----f--ā,,,,/s.ʋə.ɹə.ˈsid̪.d̪ʰɑːn.t̪ə.t͡ɕən.d̪ɹi.kɑː/,स्व॔र-सिद्धान्त-चन्द्रिका,0
368440,,स्वरसिद्धान्तकौमुदी,n,n-----f--ī,,,,/s.ʋə.ɹə.ˈsid̪.d̪ʰɑːn.t̪ə.ˈkəौ.mu.d̪iː/,स्व॔र-सिद्धान्त-कौमुदी,0
368441,,स्वरसिद्धान्तमञ्जरी,n,n-----f--ī,,,,/s.ʋə.ɹə.ˈsid̪.d̪ʰɑːn.t̪ə.məɲ.d͡ʑə.ɹiː/,स्व॔र-सिद्धान्त-मञ्जरी,0
368442,,स्वरसिंह,n,n-----m--a,,,,/s.ʋə.ɹə.ˈsĩ.ɦə/,स्व॔र-सिंह,0
368443,,स्वरसुबोधिनी,n,n-----f--ī,,,,/s.ʋə.ɹə.su.boː.d̪ʰi.niː/,स्व॔र-सुबोधिनी,0
368444,,स्वरस्वरूप,n,n-----n--a,,,,/s.ʋə.ˈɹəs.ʋə.ɹuː.pə/,स्व॔र-स्वरूप,0
368445,121834,स्वरसामन्,n,n-----m--n,,,,/s.ʋə.ɹə.sɑː.mən/,स्व॔र-सामन्,0
368446,121835,स्वरसामन्,n,n-----n--n,,,,/s.ʋə.ɹə.sɑː.mən/,स्व॔र-सामन्,0
368447,121836,स्वरसार,n,n-----m--a,,,,/s.ʋə.ɹə.sɑː.ɹə/,स्व॔र-सार,0
368448,208246,स्वरसीकृ,v,v----a--8-,,,,/s.ʋə.ɹə.siː.kɹ̩/,स्व॔-रसी-कृ,0
368449,,स्वरतन्त्र,n,n-----n--a,,,,/s.ʋə.ɹə.t̪ən.t̪ɹə/,स्व॔र-तन्त्र,0
368450,121827,स्वरतत्त्वचमत्कार,n,n-----m--a,,,,/s.ʋə.ɹə.ˈt̪ət̪.t̪ʋə.t͡ɕə.ˈmət̪.kɑː.ɹə/,स्व॔र-तत्त्व-चमत्कार,0
368451,,स्वरतत्त्वोदय,n,n-----m--a,,,,/s.ʋə.ɹə.ˈt̪ət̪.t̪ʋoː.d̪ə.jə/,स्व॔र-तत्त्वोदय,0
368452,119780,स्वरतिक्रम,n,n-----m--a,,,,/s.ʋə.ɹə.ˈt̪ik.ɹə.mə/,स्व॔र्-अतिक्रम,0
368453,,स्वरता,n,n-----f--ā,,,,/s.ʋə.ɹə.t̪ɑː/,स्व॔र-ता,0
368454,121833,स्वरवैदिक,n,n-----n--a,,,,/s.ʋə.ɹə.ʋɑːi.d̪i.kə/,स्व॔र-वैदिक,0
368455,120537,स्वरवत्,a,ap----a--c,,,,/s.ʋə.ɹə.ʋət̪/,स्व॔र-वत्,0
368456,120539,स्वरविभक्ति,n,n-----f--i,,,,/s.ʋə.ɹə.ʋi.ˈbʱək.t̪i/,स्व॔र-विभक्ति,0
368457,120538,स्वरविधि,n,n-----m--i,,,,/s.ʋə.ɹə.ʋi.d̪ʰi/,स्व॔र-विधि,0
368458,,स्वरव्याख्या,n,n-----f--ā,,,,/s.ʋə.ˈɹəʋ.jɑːkʰ.jɑː/,स्व॔र-व्याख्या,0
368459,,स्वरयोग,n,n-----m--a,,,,/s.ʋə.ɹə.joː.gə/,स्व॔र-योग,0
368460,121831,स्वरयोनि,n,n-----m--i,,,n-----f--i=स्वरयोनि,/s.ʋə.ɹə.joː.ni/,स्व॔र-योनि,0
368461,120540,स्वरशस्,r,rp--------,,,,/s.ʋə.ɹə.ɕəs/,स्व॔र-शस्,0
368462,120542,स्वरशिक्षा,n,n-----f--ā,,,,/s.ʋə.ɹə.ˈɕik.ʂɑː/,स्व॔र-शिक्षा,0
368463,120543,स्वरशुद्ध,a,ap----a--a,,,,/s.ʋə.ɹə.ˈɕud̪.d̪ʰə/,स्व॔र-शुद्ध,0
368464,120541,स्वरशास्त्र,n,n-----n--a,,,,/s.ʋə.ɹə.ɕɑːs.t̪ɹə/,स्व॔र-शास्त्र,0
368465,120544,स्वरशून्य,a,ap----a--a,,,,/s.ʋə.ɹə.ɕuːn.jə/,स्व॔र-शून्य,0
368466,,स्वरंकृत,a,ap----a--a,,,,/s.ʋə.ɹəŋ.kɹ̩.t̪ə/,स्व्-अरंकृत,0
368467,120561,स्वरण,a,ap----a--a,,,,/s.ʋə.ɹə.ɳə/,स्व॔रण,0
368468,121705,स्वर्भानव,n,n-----m--a,,,,/s.ˈʋəɹ.bʱɑː.nə.ʋə/,स्व॔र्-भानव,0
368469,121706,स्वर्भानवी,n,n-----f--ī,,,,/s.ˈʋəɹ.bʱɑː.nə.ʋiː/,स्व॔र्-भानवी,0
368470,119807,स्वर्भानवीय,a,ap----a--a,,,,/s.ˈʋəɹ.bʱɑː.nə.ʋiː.jə/,स्व॔र्-भानवीय,0
368471,121707,स्वर्भानु,n,n-----m--u,,,,/s.ˈʋəɹ.bʱɑː.nu/,स्व^र्-भानु,0
368472,,स्वर्भानुसूदन,n,n-----m--a,,,,/s.ˈʋəɹ.bʱɑː.nu.suː.d̪ə.nə/,स्व^र्-भानु-सूदन,0
368473,,स्वर्भाणु,n,n-----m--u,,,,/s.ˈʋəɹ.bʱɑː.ɳu/,स्व॔र्-भाणु,0
368474,119788,स्वर्चक्षस्,a,ap----a-sa,,,,/s.ˈʋəɹ.ˈt͡ɕək.ʂəs/,स्व॔र्-चक्षस्,0
368475,119886,स्वर्चन,a,ap----a--a,,,,/s.ˈʋəɹ.t͡ɕə.nə/,स्व्-अर्चन,0
368476,119789,स्वर्चनस्,a,ap----a-sa,,,,/s.ˈʋəɹ.t͡ɕə.nəs/,स्व॔र्-चनस्,0
368477,119887,स्वर्चि,a,ap----a--i,,,,/s.ˈʋəɹ.t͡ɕi/,स्व्-अर्चि॔,0
368478,,स्वर्चिस्,a,ap----a-si,,,,/s.ˈʋəɹ.t͡ɕis/,स्व्-अर्चिस्,0
368479,,स्वर्द्,v,v----d--1-,,,,/s.ʋəɹd̪/,स्वर्द्,0
368480,119795,स्वर्द,a,ap----a--a,,,,/s.ˈʋəɹ.d̪ə/,स्व॔र्-द,0
368481,119796,स्वर्दन्तिन्,n,n-----m--n,,,,/s.ˈʋəɹ.d̪ən.t̪in/,स्व॔र्-दन्तिन्,0
368482,119799,स्वर्देव,n,n-----m--a,,,,/s.ˈʋəɹ.d̪eː.ʋə/,स्व॔र्-देव,0
368483,119802,स्वर्धेनु,n,n-----f--u,,,,/s.ˈʋəɹ.d̪ʰeː.nu/,स्व॔र्-धेनु,0
368484,119981,स्वर्धिन्,n,n-----m--n,,,,/s.ˈʋəɹ.d̪ʰin/,स्व्-अर्धि॔न्,0
368485,,स्वर्धुनी,n,n-----f--ī,,,,/s.ˈʋəɹ.d̪ʰu.niː/,स्व॔र्-धुनी,0
370540,111763,साकूत,n,n-----n--a,,,,/sɑː.kuː.t̪ə/,साकूत,0
368486,119800,स्वर्धामन्,a,ap----a--n,,,,/s.ˈʋəɹ.d̪ʰɑː.mən/,स्व॔र्-धामन्,0
368487,,स्वर्दा,a,ap----a--ā,,,,/s.ˈʋəɹ.d̪ɑː/,स्व॔र्-दा,0
368488,119798,स्वर्दृश्,a,ap----a--c,,,,/s.ˈʋəɹ.d̪ɹ̩ɕ/,स्व॔र्-दृ॔श्,0
368489,119884,स्वरेणु,n,n-----f--u,,,,/s.ʋə.ɹeː.ɳu/,स्वरेणु,0
368490,121713,स्वर्ग,a,ap----a--a,,,,/s.ˈʋəɹ.gə/,स्वर्ग॔,0
368492,121714,स्वर्ग,n,n-----m--a,,,,/s.ˈʋəɹ.gə/,स्वर्ग॔,0
368494,,स्वर्गभर्तृ,n,n-----m--r,,,,/s.ˈʋəɹ.gə.ˈbʱəɹ.t̪ɹ̩/,स्वर्ग॔-भर्तृ,0
